,PM2.5_Concentration(microgram/m3),Ozone_Concentration(microgram/m3),NOx_Concentration(ppb),Temperature(Celsius),Wind_Speed(m/s),Relative_Humidity(%),Solar_Radiation(w/m2)
2016-01-02 08:00:00,316.83,10.71,648.02,7.34,0.38,83.75,54.75
2016-01-02 09:00:00,354.33,13.93,353.99,12.44,0.61,65.42,146.67
2016-01-02 10:00:00,313.83,21.97,219.78,16.87,0.84,46.0,245.67
2016-01-02 11:00:00,265.17,78.77,121.19,19.13,1.62,35.67,297.42
2016-01-02 12:00:00,195.17,174.27,67.95,20.42,1.86,32.67,321.33
2016-01-02 13:00:00,160.5,192.28,56.72,20.48,2.01,31.75,289.92
2016-01-02 14:00:00,138.33,197.06,54.8,19.88,1.83,33.58,231.83
2016-01-02 15:00:00,165.17,197.36,42.87,18.88,1.88,33.83,108.25
2016-01-02 16:00:00,164.27,168.38,55.82,17.24,1.31,37.42,36.5
2016-01-02 17:00:00,150.0,55.45,133.4,14.58,0.88,45.0,8.58
2016-01-02 18:00:00,172.83,12.69,283.83,12.44,0.81,53.42,3.0
2016-01-02 19:00:00,219.17,12.77,280.32,11.22,0.53,60.58,3.08
2016-01-02 20:00:00,268.17,13.71,397.78,9.85,0.47,67.83,3.33
2016-01-02 21:00:00,344.0,13.54,407.4,8.37,0.32,74.67,3.0
2016-01-02 22:00:00,394.5,11.23,360.27,7.86,0.3,78.17,3.42
2016-01-02 23:00:00,391.33,10.12,304.62,7.61,0.3,79.42,3.33
2016-01-03 00:00:00,361.0,9.36,258.37,7.32,0.4,80.0,3.42
2016-01-03 01:00:00,370.17,8.9,170.07,7.31,0.32,80.0,3.42
2016-01-03 02:00:00,492.5,9.59,155.68,6.88,0.81,80.92,3.17
2016-01-03 03:00:00,608.17,8.61,145.97,6.65,0.95,81.08,3.25
2016-01-03 04:00:00,518.5,9.55,118.1,6.29,1.1,81.5,3.17
2016-01-03 05:00:00,489.67,9.45,117.02,5.94,1.1,82.0,3.08
2016-01-03 06:00:00,483.67,9.75,114.94,5.23,0.39,82.33,3.17
2016-01-03 07:00:00,483.33,9.53,161.7,5.21,0.99,83.0,13.67
2016-01-03 08:00:00,463.67,15.48,105.38,6.7,1.57,81.08,59.92
2016-01-03 09:00:00,457.5,35.82,95.8,9.83,1.54,71.58,141.75
2016-01-03 10:00:00,443.0,69.0,72.1,13.99,1.8,57.5,248.0
2016-01-03 11:00:00,342.33,139.25,59.99,17.72,1.86,42.83,311.08
2016-01-03 12:00:00,254.0,180.64,49.54,19.32,2.13,35.58,329.67
2016-01-03 13:00:00,197.5,195.54,49.48,20.27,2.12,32.5,308.08
2016-01-03 14:00:00,166.33,211.82,42.23,19.98,2.19,32.75,257.83
2016-01-03 15:00:00,168.67,210.69,40.19,19.4,1.89,33.0,120.92
2016-01-03 16:00:00,146.5,172.94,59.96,18.07,1.8,36.17,41.67
2016-01-03 17:00:00,148.17,63.65,127.84,15.19,0.68,45.0,8.83
2016-01-03 18:00:00,179.17,13.44,270.12,11.3,0.35,61.42,3.17
2016-01-03 19:00:00,275.67,21.95,678.83,9.68,0.3,71.08,3.33
2016-01-03 20:00:00,533.33,17.65,862.67,8.87,0.32,75.67,3.33
2016-01-03 21:00:00,666.0,14.23,950.43,8.23,0.3,78.42,3.17
2016-01-03 22:00:00,601.83,11.38,1026.98,7.68,0.3,80.42,3.08
2016-01-03 23:00:00,579.17,9.73,904.17,7.18,0.3,81.58,3.33
2016-01-04 00:00:00,496.5,10.45,928.94,6.62,0.32,82.75,3.5
2016-01-04 01:00:00,495.5,9.36,827.95,6.17,0.3,83.67,3.58
2016-01-04 02:00:00,442.5,8.63,512.57,6.0,0.3,84.0,3.17
2016-01-04 03:00:00,386.67,9.18,392.7,5.79,0.3,84.0,3.5
2016-01-04 04:00:00,391.83,10.38,346.87,5.65,0.3,84.5,3.17
2016-01-04 05:00:00,478.67,9.16,314.55,5.9,0.3,84.33,2.92
2016-01-04 06:00:00,362.5,9.57,284.39,5.44,0.3,84.0,3.0
2016-01-04 07:00:00,361.5,12.03,537.49,5.47,0.32,84.58,13.75
2016-01-04 08:00:00,475.67,11.98,524.79,7.52,0.32,83.17,67.42
2016-01-04 14:00:00,387.0,25.16,213.14,19.49,0.91,44.58,109.83
2016-01-04 15:00:00,384.0,54.57,191.17,18.91,0.75,41.75,87.08
2016-01-04 16:00:00,346.33,52.12,181.3,17.9,0.54,45.08,47.67
2016-01-04 17:00:00,301.73,16.53,259.41,13.97,0.33,60.83,6.92
2016-01-04 18:00:00,382.42,20.09,567.1,11.82,0.32,71.25,3.08
2016-01-04 19:00:00,534.5,19.22,808.07,11.48,0.33,73.58,3.0
2016-01-04 20:00:00,584.55,19.68,919.3,11.17,0.32,75.67,3.17
2016-01-04 21:00:00,592.09,26.18,1063.83,11.28,0.3,76.33,3.0
2016-01-04 22:00:00,601.0,15.58,916.98,11.38,0.46,76.83,3.0
2016-01-04 23:00:00,481.0,10.93,676.1,11.92,0.79,74.83,3.08
2016-01-05 00:00:00,465.33,9.31,557.28,12.53,1.56,71.92,3.0
2016-01-05 01:00:00,389.33,9.57,450.49,12.14,0.72,72.17,3.0
2016-01-05 02:00:00,395.33,11.17,338.12,10.55,0.62,77.0,3.0
2016-01-05 03:00:00,366.0,11.58,317.14,9.78,0.43,80.25,3.17
2016-01-05 04:00:00,360.5,11.77,322.34,9.16,0.52,81.58,3.0
2016-01-05 05:00:00,357.5,13.76,355.06,8.38,0.37,83.33,3.08
2016-01-05 06:00:00,359.33,15.13,390.91,8.09,0.31,84.42,3.17
2016-01-05 07:00:00,388.83,13.86,509.89,8.0,0.35,85.08,13.17
2016-01-05 08:00:00,427.33,13.16,593.22,9.61,0.32,84.5,56.42
2016-01-05 09:00:00,425.17,13.08,712.25,13.62,0.5,73.92,114.42
2016-01-05 10:00:00,420.0,18.33,201.7,17.89,0.93,50.67,217.83
2016-01-05 11:00:00,345.5,79.26,97.8,21.82,1.09,38.25,282.92
2016-01-05 12:00:00,227.83,141.28,36.03,24.12,1.29,30.92,310.83
2016-01-05 13:00:00,126.33,161.28,40.91,25.46,0.97,29.92,289.5
2016-01-05 14:00:00,123.73,140.03,70.06,24.64,1.07,31.17,223.17
2016-01-05 15:00:00,126.17,143.93,72.63,23.31,1.04,32.58,115.92
2016-01-05 16:00:00,134.33,80.74,137.91,20.78,0.7,40.58,42.67
2016-01-05 17:00:00,211.0,20.07,200.98,16.75,0.32,57.42,8.67
2016-01-05 18:00:00,293.5,13.76,365.46,14.22,0.32,69.08,3.25
2016-01-05 19:00:00,343.64,17.67,745.95,13.06,0.33,74.67,3.17
2016-01-06 16:00:00,163.83,9.72,135.59,19.43,1.02,49.67,44.08
2016-01-06 17:00:00,200.17,8.52,275.82,16.96,0.43,59.08,7.67
2016-01-06 18:00:00,224.0,15.66,346.23,14.75,0.36,69.64,2.91
2016-01-06 19:00:00,370.0,67.63,688.14,14.03,0.31,74.91,2.91
2016-01-06 20:00:00,523.0,49.07,1049.1,13.16,0.3,77.75,2.83
2016-01-06 21:00:00,524.6,41.13,1186.48,12.78,0.3,80.08,2.75
2016-01-06 22:00:00,531.09,33.13,1205.37,12.04,0.31,81.42,3.0
2016-01-06 23:00:00,449.6,25.37,1000.77,11.33,0.31,83.0,2.83
2016-01-07 00:00:00,413.64,20.61,709.93,10.88,0.3,83.58,3.0
2016-01-07 01:00:00,348.33,17.57,624.73,10.53,0.3,84.17,3.0
2016-01-07 02:00:00,343.83,16.37,603.12,9.93,0.32,85.0,3.08
2016-01-07 03:00:00,333.6,15.87,574.18,9.49,0.3,85.67,3.17
2016-01-07 04:00:00,319.0,15.63,603.48,9.35,0.3,86.0,3.0
2016-01-07 05:00:00,341.8,16.57,635.86,8.95,0.3,86.33,3.08
2016-01-07 06:00:00,372.5,17.23,668.12,9.03,0.3,87.0,3.17
2016-01-07 07:00:00,389.17,19.47,886.37,9.73,0.36,87.0,13.0
2016-01-07 08:00:00,493.0,25.31,1060.91,11.28,0.34,86.42,45.67
2016-01-07 09:00:00,533.0,37.85,699.95,14.18,0.81,81.0,114.3
2016-01-07 10:00:00,408.0,37.53,213.4,17.39,0.92,65.08,176.83
2016-01-07 11:00:00,408.0,63.33,137.17,20.64,0.84,51.83,231.67
2016-01-07 12:00:00,312.0,91.37,113.72,22.87,1.01,44.08,251.33
2016-01-07 13:00:00,302.83,116.27,86.36,23.41,0.8,42.0,197.0
2016-01-07 14:00:00,266.83,123.6,146.17,22.11,0.97,47.67,110.83
2016-01-07 15:00:00,331.6,84.49,195.23,20.25,0.96,55.42,56.75
2016-01-07 16:00:00,401.17,53.61,241.87,18.9,0.48,59.25,33.5
2016-01-07 17:00:00,438.45,41.39,318.07,16.53,0.34,68.25,6.92
2016-01-07 18:00:00,464.09,46.85,670.13,14.92,0.3,75.58,3.08
2016-01-07 19:00:00,547.73,44.31,892.76,14.3,0.33,78.33,3.0
2016-01-07 20:00:00,544.2,53.92,1013.53,13.7,0.31,80.67,3.0
2016-01-07 21:00:00,621.0,45.39,957.57,13.51,0.3,81.64,2.91
2016-01-07 22:00:00,598.18,37.38,942.92,12.38,0.3,83.33,2.92
2016-01-07 23:00:00,551.09,27.67,803.94,11.83,0.3,84.75,2.92
2016-01-08 00:00:00,507.0,23.51,617.74,11.17,0.3,85.42,3.08
2016-01-08 01:00:00,480.67,22.28,542.24,11.11,0.3,86.17,2.92
2016-01-08 02:00:00,451.18,22.88,479.73,11.08,0.32,86.75,2.83
2016-01-08 03:00:00,456.0,24.25,479.69,10.91,0.34,87.0,2.75
2016-01-08 04:00:00,431.0,24.1,466.41,10.34,0.33,87.11,2.67
2016-01-08 06:00:00,409.0,24.99,368.38,10.02,1.0,88.0,2.92
2016-01-08 07:00:00,398.27,21.2,175.33,10.13,1.02,88.0,8.25
2016-01-08 08:00:00,288.83,20.04,164.22,10.33,1.22,88.0,28.5
2016-01-08 09:00:00,278.0,23.05,153.29,10.43,1.55,88.13,34.75
2016-01-08 11:00:00,328.45,23.98,137.53,12.79,1.51,86.83,183.33
2016-01-08 12:00:00,299.9,36.31,109.1,16.14,1.84,74.17,217.58
2016-01-08 13:00:00,308.0,55.68,97.94,18.41,1.9,58.18,213.82
2016-01-08 14:00:00,247.0,82.11,69.62,18.31,2.0,53.67,173.25
2016-01-08 15:00:00,239.0,79.44,68.86,17.91,1.91,49.58,107.0
2016-01-08 16:00:00,206.33,57.52,81.47,16.57,1.48,56.92,44.08
2016-01-08 17:00:00,204.89,24.2,140.84,14.45,0.94,68.0,7.75
2016-01-08 18:00:00,216.17,19.6,222.62,12.9,0.84,73.08,3.08
2016-01-08 19:00:00,200.78,23.26,241.97,12.14,1.01,75.33,3.0
2016-01-08 20:00:00,245.0,20.95,200.28,11.55,1.47,76.5,3.0
2016-01-08 21:00:00,298.0,19.99,160.88,11.04,1.53,78.42,3.0
2016-01-08 22:00:00,280.67,18.69,137.93,10.35,0.98,79.5,3.08
2016-01-08 23:00:00,261.5,17.68,104.03,9.81,1.27,80.0,3.0
2016-01-09 00:00:00,252.0,16.18,97.41,9.11,1.28,80.5,3.0
2016-01-09 01:00:00,228.2,15.76,86.8,8.52,1.12,81.08,3.25
2016-01-09 02:00:00,235.33,14.53,89.32,8.03,1.2,82.0,3.0
2016-01-09 03:00:00,243.55,14.13,83.4,7.56,1.44,82.33,3.08
2016-01-09 04:00:00,229.2,13.58,85.63,7.12,0.91,83.0,3.5
2016-01-09 05:00:00,238.2,13.67,88.91,6.73,1.49,83.0,3.25
2016-01-09 06:00:00,261.83,13.6,83.93,6.38,1.92,83.83,3.17
2016-01-09 07:00:00,291.18,12.45,91.0,6.1,1.86,84.33,16.08
2016-01-09 08:00:00,245.17,14.65,95.25,7.28,2.09,82.92,67.75
2016-01-09 09:00:00,256.91,33.6,85.45,10.28,2.54,71.83,150.75
2016-01-09 10:00:00,255.5,53.79,72.52,14.05,2.33,56.42,266.17
2016-01-09 11:00:00,228.0,83.67,57.93,17.01,2.92,46.75,329.25
2016-01-09 15:00:00,64.0,116.31,37.68,18.77,3.08,39.67,122.17
2016-01-09 16:00:00,65.83,117.87,48.92,17.62,2.27,42.5,34.0
2016-01-09 17:00:00,76.0,84.65,79.38,15.48,1.44,45.0,9.33
2016-01-09 18:00:00,82.67,28.17,137.93,13.67,1.03,52.08,3.0
2016-01-09 19:00:00,96.33,25.24,252.6,11.93,0.58,59.67,2.92
2016-01-09 20:00:00,132.5,33.82,381.5,10.15,0.32,67.92,3.17
2016-01-09 21:00:00,193.33,44.72,512.13,8.94,0.3,74.08,3.25
2016-01-09 22:00:00,260.0,40.05,453.76,8.31,0.3,76.75,2.92
2016-01-09 23:00:00,257.67,35.88,459.13,7.49,0.3,79.08,3.08
2016-01-10 00:00:00,254.33,29.86,286.14,7.87,0.31,79.17,3.08
2016-01-10 01:00:00,305.5,27.48,230.78,7.6,0.3,79.0,2.83
2016-01-10 02:00:00,338.67,20.42,231.61,7.68,0.31,79.42,2.92
2016-01-10 03:00:00,253.17,16.67,205.17,7.41,0.38,78.83,2.92
2016-01-10 04:00:00,180.36,16.08,170.66,6.95,0.3,79.92,3.0
2016-01-10 05:00:00,142.5,14.94,181.28,6.77,0.32,80.25,3.08
2016-01-10 06:00:00,132.67,15.11,160.9,6.64,0.32,80.0,3.0
2016-01-10 07:00:00,124.33,16.62,193.2,6.78,0.42,80.08,14.67
2016-01-10 08:00:00,143.67,16.79,221.17,9.42,1.16,72.83,62.5
2016-01-10 09:00:00,149.33,44.77,113.13,13.7,1.79,57.17,144.25
2016-01-10 10:00:00,109.17,76.13,64.5,16.88,1.91,47.58,268.5
2016-01-10 11:00:00,93.5,104.4,55.92,19.51,1.78,39.58,321.42
2016-01-10 12:00:00,58.5,126.22,41.94,21.53,1.83,34.33,338.0
2016-01-10 13:00:00,45.83,142.42,33.91,22.04,2.14,32.17,325.92
2016-01-10 14:00:00,46.83,155.1,28.92,21.94,2.15,32.67,277.58
2016-01-10 15:00:00,58.17,156.19,31.7,21.04,1.71,34.67,121.0
2016-01-10 16:00:00,70.17,138.58,47.08,19.62,1.12,38.17,37.25
2016-01-10 17:00:00,84.0,46.42,123.7,16.19,0.32,51.08,9.08
2016-01-10 18:00:00,134.18,31.21,333.74,12.97,0.3,64.42,2.67
2016-01-10 19:00:00,275.0,49.15,646.78,11.37,0.3,72.33,2.92
2016-01-10 20:00:00,449.0,42.97,873.34,10.42,0.3,76.42,2.92
2016-01-10 21:00:00,363.83,60.82,991.27,9.78,0.3,79.25,2.83
2016-01-10 22:00:00,458.17,59.53,954.11,9.16,0.3,80.92,3.0
2016-01-10 23:00:00,413.83,58.9,915.58,8.56,0.3,82.42,3.08
2016-01-11 00:00:00,314.67,54.05,812.51,8.0,0.3,83.42,2.83
2016-01-11 01:00:00,314.33,45.89,717.95,7.66,0.3,84.0,2.83
2016-01-11 02:00:00,271.83,46.86,721.18,7.28,0.3,85.0,2.83
2016-01-11 03:00:00,274.67,53.09,669.25,6.9,0.3,85.08,2.92
2016-01-11 04:00:00,272.83,64.02,590.09,6.54,0.3,85.58,2.75
2016-01-11 05:00:00,298.5,72.19,533.89,6.23,0.3,86.0,2.75
2016-01-11 06:00:00,313.17,80.3,535.49,5.94,0.3,86.0,2.75
2016-01-11 07:00:00,355.33,78.63,676.2,5.91,0.3,86.5,13.67
2016-01-11 08:00:00,382.33,63.97,722.72,8.36,0.3,86.5,61.08
2016-01-11 09:00:00,340.17,30.68,378.35,13.95,0.55,74.92,128.75
2016-01-11 10:00:00,236.83,45.26,100.66,18.67,0.97,50.83,233.5
2016-01-11 11:00:00,170.64,101.48,46.82,21.62,1.35,38.75,287.42
2016-01-11 12:00:00,76.33,120.92,48.1,23.01,1.73,32.67,308.83
2016-01-11 13:00:00,61.67,153.96,36.39,23.46,1.87,30.33,296.17
2016-01-11 14:00:00,57.33,171.07,33.96,23.17,1.83,29.92,253.08
2016-01-11 15:00:00,76.5,179.89,38.41,21.86,1.54,32.08,115.75
2016-01-11 16:00:00,106.67,141.92,64.08,20.39,1.04,35.92,37.25
2016-01-11 17:00:00,77.33,40.98,227.0,16.98,0.37,45.83,8.92
2016-01-11 18:00:00,135.5,35.3,464.33,13.38,0.34,60.17,3.0
2016-01-11 19:00:00,253.67,47.63,927.33,11.58,0.31,69.42,3.0
2016-01-11 20:00:00,318.17,47.92,1029.0,10.21,0.3,74.92,3.0
2016-01-11 21:00:00,393.5,53.91,1208.41,9.41,0.3,78.33,3.0
2016-01-11 22:00:00,466.67,38.17,1244.28,8.67,0.3,80.42,3.0
2016-01-11 23:00:00,345.0,37.45,1245.71,8.1,0.3,81.75,3.0
2016-01-12 13:00:00,86.1,101.68,47.11,22.69,2.27,35.5,283.92
2016-01-12 14:00:00,77.17,124.3,51.69,22.08,2.74,37.58,237.25
2016-01-12 15:00:00,72.83,128.29,52.82,20.85,2.49,39.75,111.75
2016-01-12 16:00:00,76.5,97.61,81.82,19.43,1.98,45.0,37.75
2016-01-12 17:00:00,100.33,47.44,137.42,17.08,0.84,50.33,8.75
2016-01-12 18:00:00,93.83,44.22,222.32,13.65,0.3,64.5,2.92
2016-01-12 19:00:00,166.83,57.88,499.7,12.39,0.3,71.58,2.67
2016-01-12 20:00:00,233.5,55.31,501.49,11.85,0.3,74.33,2.83
2016-01-12 21:00:00,231.17,58.06,507.15,11.36,0.3,78.0,2.83
2016-01-12 22:00:00,273.67,45.85,422.47,11.1,0.3,79.75,3.0
2016-01-12 23:00:00,229.83,41.82,332.89,10.31,0.3,81.58,3.0
2016-01-13 00:00:00,221.67,39.73,412.13,9.63,0.3,83.42,3.0
2016-01-13 01:00:00,233.67,35.83,326.43,9.67,0.3,84.58,3.0
2016-01-13 02:00:00,225.17,31.7,209.83,10.53,0.32,84.5,2.92
2016-01-13 03:00:00,213.67,27.69,116.92,11.22,0.79,82.0,2.92
2016-01-13 04:00:00,201.67,28.63,86.52,10.91,0.64,81.0,3.0
2016-01-13 05:00:00,201.67,29.93,74.76,10.29,0.36,81.83,2.92
2016-01-13 06:00:00,210.67,30.67,84.86,10.73,0.83,81.08,2.92
2016-01-13 07:00:00,217.33,30.72,114.89,11.03,0.81,79.33,13.75
2016-01-13 08:00:00,232.83,37.03,101.45,11.92,1.44,75.42,48.25
2016-01-13 09:00:00,227.17,68.63,96.7,14.65,1.34,66.42,131.83
2016-01-13 10:00:00,224.33,101.15,61.6,17.83,1.25,54.75,194.67
2016-01-13 11:00:00,204.67,137.97,50.36,19.28,1.38,49.42,245.67
2016-01-13 12:00:00,188.33,152.34,48.17,20.92,1.13,44.58,247.25
2016-01-13 13:00:00,140.0,144.19,88.88,21.66,1.23,42.75,217.0
2016-01-13 14:00:00,201.0,141.05,103.48,21.15,1.03,44.0,143.08
2016-01-13 15:00:00,213.33,119.73,71.03,18.15,2.61,58.17,81.0
2016-01-13 16:00:00,285.0,101.82,63.85,16.03,1.8,63.17,42.92
2016-01-13 17:00:00,329.67,58.67,91.94,14.68,1.76,67.92,8.5
2016-01-13 18:00:00,318.83,28.99,128.97,13.41,1.42,75.17,2.92
2016-01-13 19:00:00,401.64,26.77,149.83,12.6,1.06,78.25,3.0
2016-01-13 20:00:00,438.67,29.42,195.92,12.15,0.86,79.67,2.92
2016-01-13 21:00:00,439.17,27.28,174.73,11.73,1.34,81.17,3.0
2016-01-13 22:00:00,427.0,25.88,155.61,11.29,0.84,82.5,2.92
2016-01-13 23:00:00,409.5,21.07,85.49,11.08,1.05,83.0,2.75
2016-01-14 00:00:00,266.83,17.43,70.28,10.79,1.56,83.92,2.83
2016-01-14 01:00:00,230.67,29.18,51.26,10.8,1.57,84.92,2.67
2016-01-14 02:00:00,178.33,48.7,43.89,11.18,1.33,82.58,2.67
2016-01-14 03:00:00,177.67,57.09,38.93,10.99,0.98,81.0,2.75
2016-01-14 04:00:00,188.33,57.49,32.64,10.67,1.07,81.0,2.83
2016-01-14 05:00:00,178.5,51.8,32.82,10.56,1.38,81.0,2.67
2016-01-14 06:00:00,192.5,50.88,36.73,10.21,1.38,80.17,3.0
2016-01-14 07:00:00,173.17,45.23,45.93,10.07,1.47,80.0,11.33
2016-01-14 08:00:00,169.0,37.41,62.05,10.34,1.57,78.42,32.92
2016-01-14 09:00:00,198.33,39.6,71.36,11.08,1.33,75.42,66.83
2016-01-14 10:00:00,215.83,48.91,67.68,12.03,1.5,71.25,121.5
2016-01-14 11:00:00,195.17,61.75,72.86,13.59,1.3,65.58,158.17
2016-01-14 12:00:00,197.0,80.98,82.02,15.41,1.31,58.25,173.42
2016-01-14 13:00:00,201.0,95.12,84.48,15.53,1.47,57.08,144.58
2016-01-14 14:00:00,202.33,94.71,101.85,16.14,1.13,55.92,140.33
2016-01-14 15:00:00,231.5,96.77,109.76,16.18,1.15,54.75,96.33
2016-01-14 16:00:00,218.0,32.54,133.92,14.44,1.28,63.08,41.58
2016-01-14 17:00:00,211.83,25.63,120.89,12.83,1.07,68.25,7.58
2016-01-14 18:00:00,207.5,14.18,188.08,12.0,0.83,71.67,3.0
2016-01-14 19:00:00,217.0,16.32,212.15,11.52,0.62,73.33,3.0
2016-01-14 20:00:00,228.5,15.07,250.83,10.78,0.39,75.25,3.0
2016-01-14 21:00:00,238.67,14.28,245.12,9.99,0.38,78.42,3.0
2016-01-14 22:00:00,251.17,14.22,247.15,9.23,0.33,80.5,3.0
2016-01-14 23:00:00,247.0,12.93,267.01,8.6,0.43,82.75,3.08
2016-01-15 00:00:00,247.0,12.38,244.64,8.1,0.3,83.42,3.0
2016-01-15 01:00:00,242.5,12.32,189.43,7.78,0.3,84.67,3.0
2016-01-15 02:00:00,222.0,11.32,90.31,7.6,0.31,85.0,3.0
2016-01-15 03:00:00,231.33,11.53,83.61,7.32,0.3,85.25,2.75
2016-01-15 04:00:00,222.17,11.63,91.58,7.12,0.49,86.0,2.92
2016-01-15 05:00:00,185.5,12.91,56.19,7.04,1.52,86.83,2.5
2016-01-15 06:00:00,140.0,13.64,51.78,7.2,0.99,87.0,2.83
2016-01-15 07:00:00,104.17,16.3,66.64,7.79,1.5,86.75,5.58
2016-01-15 08:00:00,130.17,17.33,83.4,7.96,1.69,85.08,14.75
2016-01-15 09:00:00,156.83,21.82,74.22,8.38,1.71,82.17,24.83
2016-01-15 10:00:00,158.67,24.22,71.14,8.69,1.56,80.58,35.75
2016-01-15 11:00:00,145.83,34.16,58.08,9.3,1.53,76.92,59.92
2016-01-15 12:00:00,137.67,42.81,58.97,10.74,1.98,68.67,105.83
2016-01-15 13:00:00,126.67,50.41,53.32,11.43,2.05,64.83,118.25
2016-01-15 14:00:00,127.67,68.47,46.27,11.96,2.39,61.5,160.17
2016-01-15 15:00:00,117.33,69.23,50.62,12.48,1.98,59.33,123.92
2016-01-15 16:00:00,124.5,65.36,53.73,11.43,2.09,62.83,50.08
2016-01-15 17:00:00,130.0,47.18,62.63,10.09,1.84,66.92,9.75
2016-01-15 18:00:00,143.67,32.19,68.67,9.72,1.71,68.0,2.75
2016-01-15 19:00:00,141.0,42.78,62.54,9.38,2.39,69.33,2.92
2016-01-15 20:00:00,155.17,44.9,54.98,8.67,1.54,69.75,3.0
2016-01-15 21:00:00,123.67,30.84,69.96,8.5,1.36,70.42,2.92
2016-01-15 22:00:00,113.67,45.86,53.43,8.99,1.8,68.83,3.08
2016-01-15 23:00:00,123.0,59.63,39.31,9.21,2.02,67.58,3.0
2016-01-16 00:00:00,130.33,62.96,38.38,8.72,1.63,68.5,3.0
2016-01-16 01:00:00,140.0,40.72,52.28,7.98,1.11,71.92,2.75
2016-01-16 02:00:00,129.5,30.75,55.56,7.44,1.31,74.92,2.5
2016-01-16 03:00:00,129.5,47.93,45.45,7.81,1.84,75.25,2.83
2016-01-16 04:00:00,137.67,65.27,30.51,8.22,2.32,74.25,3.0
2016-01-16 05:00:00,117.0,61.18,27.92,7.83,2.63,76.67,3.0
2016-01-16 06:00:00,121.0,52.76,35.56,7.75,1.93,76.67,2.92
2016-01-16 07:00:00,115.0,55.43,42.2,7.57,2.24,75.08,8.67
2016-01-16 08:00:00,114.17,49.42,51.62,7.86,2.23,73.58,31.58
2016-01-16 09:00:00,134.33,45.1,53.43,8.36,2.28,71.58,65.0
2016-01-16 10:00:00,133.83,50.11,59.22,9.12,2.18,69.17,98.08
2016-01-16 11:00:00,148.67,54.25,58.28,10.12,2.61,65.75,170.08
2016-01-16 12:00:00,150.67,73.87,53.65,11.9,2.75,60.5,251.92
2016-01-16 13:00:00,139.5,100.63,45.98,13.4,2.88,56.08,261.42
2016-01-16 14:00:00,114.33,113.37,40.57,14.38,2.21,54.08,219.33
2016-01-16 15:00:00,102.33,112.62,44.55,13.58,2.5,56.42,123.92
2016-01-16 16:00:00,111.5,85.63,53.98,12.63,2.02,61.08,56.5
2016-01-16 17:00:00,125.83,46.76,74.76,10.98,1.58,66.58,11.5
2016-01-16 18:00:00,139.83,16.61,138.72,9.75,0.67,71.5,2.67
2016-01-16 19:00:00,166.5,18.97,126.31,9.3,1.02,74.08,2.75
2016-01-16 20:00:00,178.33,19.84,133.69,8.72,0.49,75.0,2.92
2016-01-16 21:00:00,180.67,16.68,222.69,7.98,0.68,78.42,2.83
2016-01-16 22:00:00,210.5,14.98,235.1,8.37,0.78,79.17,2.92
2016-01-16 23:00:00,206.0,13.47,119.73,7.88,0.63,78.5,2.83
2016-01-17 00:00:00,146.83,13.57,138.2,7.35,0.55,80.08,2.75
2016-01-17 01:00:00,145.17,17.61,83.49,8.33,1.08,77.33,3.0
2016-01-17 02:00:00,117.5,35.31,58.26,8.35,1.32,74.67,3.0
2016-01-17 03:00:00,125.5,40.77,52.02,8.03,1.22,73.08,2.83
2016-01-17 04:00:00,126.5,45.87,42.9,7.84,1.04,73.0,3.0
2016-01-17 05:00:00,120.5,28.93,58.63,6.93,0.62,74.33,2.92
2016-01-17 06:00:00,129.83,18.27,78.47,6.12,0.38,77.58,2.92
2016-01-17 07:00:00,144.17,16.96,90.38,6.88,0.37,78.17,9.83
2016-01-17 08:00:00,169.33,24.11,83.96,8.14,0.71,73.25,51.83
2016-01-17 09:00:00,162.5,45.65,75.85,10.0,1.27,64.67,131.08
2016-01-17 10:00:00,143.33,61.51,73.58,12.27,1.56,57.08,222.0
2016-01-17 11:00:00,137.17,79.77,72.11,14.37,1.61,50.83,274.67
2016-01-17 12:00:00,142.17,106.73,55.52,15.78,1.62,46.08,304.08
2016-01-17 13:00:00,116.83,147.17,40.28,16.38,1.44,43.33,288.33
2016-01-17 14:00:00,139.33,169.03,36.83,16.49,1.45,43.5,222.75
2016-01-17 15:00:00,159.0,155.59,62.35,15.96,1.1,44.42,126.0
2016-01-17 16:00:00,179.67,62.98,122.36,14.35,1.11,50.5,50.58
2016-01-17 17:00:00,205.17,31.06,141.74,11.99,0.34,58.75,11.0
2016-01-17 18:00:00,202.67,22.25,251.97,9.76,0.32,68.42,2.83
2016-01-17 19:00:00,267.67,29.03,285.29,8.49,0.33,73.83,2.83
2016-01-17 20:00:00,303.5,34.19,420.59,7.63,0.31,77.5,3.0
2016-01-17 21:00:00,316.83,30.49,408.43,6.94,0.3,79.83,2.92
2016-01-17 22:00:00,319.17,28.68,336.07,6.36,0.3,81.33,3.0
2016-01-17 23:00:00,315.17,30.52,368.32,5.77,0.3,82.67,2.92
2016-01-18 00:00:00,342.0,26.44,437.34,5.24,0.3,83.67,2.75
2016-01-18 01:00:00,338.33,23.93,398.39,5.02,0.3,84.67,2.67
2016-01-18 02:00:00,290.67,24.23,389.35,4.49,0.3,85.17,2.75
2016-01-18 03:00:00,265.0,22.41,353.65,4.16,0.31,85.33,2.83
2016-01-18 04:00:00,241.0,22.63,333.33,3.9,0.3,86.0,2.75
